Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
TSLA,
2025-03-31,
Compact,
US/Eastern,
,"{'1. open': '249.3100', '2. high': '260.5600', '3. low': '243.3601', '4. close': '259.1600', '5. volume': '134008936'}"
,"{'1. open': '275.5750', '2. high': '276.1000', '3. low': '260.5700', '4. close': '263.5500', '5. volume': '123809389'}"
,"{'1. open': '272.4800', '2. high': '291.8500', '3. low': '271.8216', '4. close': '273.1300', '5. volume': '162572146'}"
,"{'1. open': '282.6600', '2. high': '284.9000', '3. low': '266.5100', '4. close': '272.0600', '5. volume': '156254441'}"
,"{'1. open': '283.6000', '2. high': '288.2000', '3. low': '271.2800', '4. close': '288.1400', '5. volume': '150361538'}"
,"{'1. open': '258.0750', '2. high': '278.6400', '3. low': '256.3300', '4. close': '278.3900', '5. volume': '169079865'}"
,"{'1. open': '234.9850', '2. high': '249.5200', '3. low': '234.5500', '4. close': '248.7100', '5. volume': '132728684'}"
,"{'1. open': '233.3450', '2. high': '238.0000', '3. low': '230.0501', '4. close': '236.2600', '5. volume': '99028270'}"
,"{'1. open': '231.6100', '2. high': '241.4100', '3. low': '229.2010', '4. close': '235.8600', '5. volume': '111993753'}"
,"{'1. open': '228.1550', '2. high': '230.1000', '3. low': '222.2800', '4. close': '225.3100', '5. volume': '111477636'}"
,"{'1. open': '245.0550', '2. high': '245.4000', '3. low': '232.8000', '4. close': '238.0100', '5. volume': '111900565'}"
,"{'1. open': '247.3100', '2. high': '251.5800', '3. low': '240.7300', '4. close': '249.9800', '5. volume': '100242264'}"
,"{'1. open': '248.1250', '2. high': '248.2900', '3. low': '232.6000', '4. close': '240.6800', '5. volume': '114813525'}"
,"{'1. open': '247.2200', '2. high': '251.8400', '3. low': '241.1000', '4. close': '248.0900', '5. volume': '142215681'}"
,"{'1. open': '225.3050', '2. high': '237.0649', '3. low': '217.0200', '4. close': '230.5800', '5. volume': '174896415'}"
,"{'1. open': '252.5400', '2. high': '253.3700', '3. low': '220.0000', '4. close': '222.1500', '5. volume': '185037825'}"
,"{'1. open': '259.3200', '2. high': '266.2499', '3. low': '250.7300', '4. close': '262.6700', '5. volume': '102369640'}"
,"{'1. open': '272.0600', '2. high': '272.6500', '3. low': '260.0200', '4. close': '263.4500', '5. volume': '98451566'}"
,"{'1. open': '272.9200', '2. high': '279.5500', '3. low': '267.7100', '4. close': '279.1000', '5. volume': '94042913'}"
,"{'1. open': '270.9300', '2. high': '284.3500', '3. low': '261.8401', '4. close': '272.0400', '5. volume': '126706623'}"
,"{'1. open': '300.3400', '2. high': '303.9400', '3. low': '277.3000', '4. close': '284.6500', '5. volume': '115551414'}"
,"{'1. open': '279.5000', '2. high': '293.8800', '3. low': '273.6000', '4. close': '292.9800', '5. volume': '115696968'}"
,"{'1. open': '291.1600', '2. high': '297.2300', '3. low': '280.8800', '4. close': '281.9500', '5. volume': '101748197'}"
,"{'1. open': '303.7150', '2. high': '309.0000', '3. low': '288.0400', '4. close': '290.8000', '5. volume': '100118276'}"
,"{'1. open': '327.0250', '2. high': '328.8900', '3. low': '297.2512', '4. close': '302.8000', '5. volume': '134228777'}"
,"{'1. open': '338.1400', '2. high': '342.3973', '3. low': '324.7000', '4. close': '330.5300', '5. volume': '76052321'}"
,"{'1. open': '353.4400', '2. high': '354.9800', '3. low': '334.4200', '4. close': '337.8000', '5. volume': '74058648'}"
,"{'1. open': '361.5100', '2. high': '362.3000', '3. low': '348.0000', '4. close': '354.4000', '5. volume': '45965354'}"
,"{'1. open': '354.0000', '2. high': '367.3400', '3. low': '353.6700', '4. close': '360.5600', '5. volume': '67094374'}"
,"{'1. open': '355.0100', '2. high': '359.1000', '3. low': '350.0200', '4. close': '354.1100', '5. volume': '51631702'}"
,"{'1. open': '360.6200', '2. high': '362.0000', '3. low': '347.5000', '4. close': '355.8400', '5. volume': '68277279'}"
,"{'1. open': '345.0000', '2. high': '358.6900', '3. low': '342.8500', '4. close': '355.9400', '5. volume': '89441519'}"
,"{'1. open': '329.9400', '2. high': '346.4000', '3. low': '329.1200', '4. close': '336.5100', '5. volume': '105382729'}"
,"{'1. open': '345.8000', '2. high': '349.3700', '3. low': '325.1000', '4. close': '328.5000', '5. volume': '118543400'}"
,"{'1. open': '356.2100', '2. high': '362.7000', '3. low': '350.5100', '4. close': '350.7300', '5. volume': '77514903'}"
,"{'1. open': '370.1900', '2. high': '380.5459', '3. low': '360.3400', '4. close': '361.6200', '5. volume': '70298258'}"
,"{'1. open': '373.0300', '2. high': '375.4000', '3. low': '363.1800', '4. close': '374.3200', '5. volume': '77918230'}"
,"{'1. open': '387.5100', '2. high': '388.3900', '3. low': '375.5300', '4. close': '378.1700', '5. volume': '57614721'}"
,"{'1. open': '382.6300', '2. high': '394.0000', '3. low': '381.4000', '4. close': '392.2100', '5. volume': '57072235'}"
,"{'1. open': '386.6800', '2. high': '389.1700', '3. low': '374.3600', '4. close': '383.6800', '5. volume': '93732122'}"
,"{'1. open': '401.5300', '2. high': '419.9900', '3. low': '401.3400', '4. close': '404.6000', '5. volume': '83568219'}"
,"{'1. open': '410.7800', '2. high': '412.5000', '3. low': '384.4100', '4. close': '400.2800', '5. volume': '98092879'}"
,"{'1. open': '395.2100', '2. high': '398.5899', '3. low': '384.4800', '4. close': '389.1000', '5. volume': '68033648'}"
,"{'1. open': '396.9100', '2. high': '400.5900', '3. low': '386.5000', '4. close': '398.0900', '5. volume': '48910676'}"
,"{'1. open': '394.8000', '2. high': '406.6900', '3. low': '389.0000', '4. close': '397.1500', '5. volume': '58125510'}"
,"{'1. open': '414.4500', '2. high': '418.8800', '3. low': '405.7800', '4. close': '406.5800', '5. volume': '56427149'}"
,"{'1. open': '416.0600', '2. high': '420.7300', '3. low': '408.9500', '4. close': '412.3800', '5. volume': '50690592'}"
,"{'1. open': '416.8100', '2. high': '428.0000', '3. low': '414.5900', '4. close': '415.1100', '5. volume': '60963342'}"
,"{'1. open': '432.6400', '2. high': '433.2000', '3. low': '406.3100', '4. close': '424.0700', '5. volume': '87320894'}"
,"{'1. open': '421.5000', '2. high': '439.7400', '3. low': '419.7500', '4. close': '426.5000', '5. volume': '94991429'}"
,"{'1. open': '423.4900', '2. high': '424.0000', '3. low': '409.1300', '4. close': '413.8200', '5. volume': '68335151'}"
,"{'1. open': '409.9000', '2. high': '429.8000', '3. low': '405.6610', '4. close': '428.2200', '5. volume': '81375460'}"
,"{'1. open': '414.3400', '2. high': '422.6400', '3. low': '394.5400', '4. close': '396.3600', '5. volume': '84565022'}"
,"{'1. open': '383.2100', '2. high': '403.7900', '3. low': '380.0700', '4. close': '403.3100', '5. volume': '67580494'}"
,"{'1. open': '391.4000', '2. high': '399.2800', '3. low': '377.2900', '4. close': '394.7400', '5. volume': '62287333'}"
,"{'1. open': '392.9500', '2. high': '402.4999', '3. low': '387.4000', '4. close': '394.9400', '5. volume': '73038805'}"
,"{'1. open': '405.8300', '2. high': '414.3300', '3. low': '390.0000', '4. close': '394.3600', '5. volume': '75699525'}"
,"{'1. open': '423.2000', '2. high': '426.4300', '3. low': '401.7000', '4. close': '411.0500', '5. volume': '85516534'}"
,"{'1. open': '381.4800', '2. high': '411.8799', '3. low': '379.4500', '4. close': '410.4400', '5. volume': '95423329'}"
,"{'1. open': '390.1000', '2. high': '392.7299', '3. low': '373.0400', '4. close': '379.2800', '5. volume': '109710749'}"
,"{'1. open': '423.7900', '2. high': '427.9300', '3. low': '402.5400', '4. close': '403.8400', '5. volume': '76825121'}"
,"{'1. open': '419.4000', '2. high': '427.0000', '3. low': '415.7500', '4. close': '417.4100', '5. volume': '64941012'}"
,"{'1. open': '449.5200', '2. high': '450.0000', '3. low': '426.5000', '4. close': '431.6600', '5. volume': '82666821'}"
,"{'1. open': '465.1600', '2. high': '465.3299', '3. low': '451.0200', '4. close': '454.1300', '5. volume': '76651210'}"
,"{'1. open': '435.9000', '2. high': '462.7800', '3. low': '435.1400', '4. close': '462.2800', '5. volume': '59551750'}"
,"{'1. open': '431.0000', '2. high': '434.5100', '3. low': '415.4112', '4. close': '430.6000', '5. volume': '72698055'}"
,"{'1. open': '425.5050', '2. high': '447.0800', '3. low': '417.6400', '4. close': '421.0600', '5. volume': '132216176'}"
,"{'1. open': '451.8800', '2. high': '456.3600', '3. low': '420.0200', '4. close': '436.1700', '5. volume': '118566146'}"
,"{'1. open': '466.4950', '2. high': '488.5399', '3. low': '427.0100', '4. close': '440.1300', '5. volume': '149340788'}"
,"{'1. open': '475.9000', '2. high': '483.9900', '3. low': '457.5101', '4. close': '479.8600', '5. volume': '131222978'}"
,"{'1. open': '441.0900', '2. high': '463.1900', '3. low': '436.1500', '4. close': '463.0200', '5. volume': '114083811'}"
,"{'1. open': '420.0000', '2. high': '436.3000', '3. low': '415.7100', '4. close': '436.2300', '5. volume': '89000158'}"
,"{'1. open': '424.8400', '2. high': '429.3000', '3. low': '415.0000', '4. close': '418.1000', '5. volume': '87752225'}"
,"{'1. open': '409.7000', '2. high': '424.8800', '3. low': '402.3800', '4. close': '424.7700', '5. volume': '104287559'}"
,"{'1. open': '392.6800', '2. high': '409.7300', '3. low': '390.8500', '4. close': '400.9900', '5. volume': '97563578'}"
,"{'1. open': '397.6100', '2. high': '404.8000', '3. low': '378.0100', '4. close': '389.7900', '5. volume': '96359173'}"
,"{'1. open': '377.4200', '2. high': '389.4900', '3. low': '370.8000', '4. close': '389.2200', '5. volume': '81455834'}"
,"{'1. open': '359.8700', '2. high': '375.4300', '3. low': '359.5000', '4. close': '369.4900', '5. volume': '81403569'}"
,"{'1. open': '353.0000', '2. high': '358.1000', '3. low': '348.6000', '4. close': '357.9300', '5. volume': '50810874'}"
,"{'1. open': '351.8000', '2. high': '355.6900', '3. low': '348.2000', '4. close': '351.4200', '5. volume': '58267196'}"
,"{'1. open': '352.3800', '2. high': '360.0000', '3. low': '351.1501', '4. close': '357.0900', '5. volume': '77986478'}"
,"{'1. open': '336.0800', '2. high': '345.4500', '3. low': '334.6500', '4. close': '345.1600', '5. volume': '37167621'}"
,"{'1. open': '341.8000', '2. high': '342.5500', '3. low': '326.5900', '4. close': '332.8900', '5. volume': '57896439'}"
,"{'1. open': '341.0000', '2. high': '346.9600', '3. low': '335.6600', '4. close': '338.2300', '5. volume': '62295857'}"
,"{'1. open': '360.1400', '2. high': '361.9300', '3. low': '338.2000', '4. close': '338.5900', '5. volume': '95890899'}"
,"{'1. open': '341.0850', '2. high': '361.5300', '3. low': '337.7000', '4. close': '352.5600', '5. volume': '89140722'}"
,"{'1. open': '343.8100', '2. high': '347.9899', '3. low': '335.2800', '4. close': '339.6400', '5. volume': '58011719'}"
,"{'1. open': '345.0000', '2. high': '346.5999', '3. low': '334.3000', '4. close': '342.0300', '5. volume': '66340650'}"
,"{'1. open': '335.7600', '2. high': '347.3799', '3. low': '332.7500', '4. close': '346.0000', '5. volume': '88852452'}"
,"{'1. open': '340.7300', '2. high': '348.5499', '3. low': '330.0100', '4. close': '338.7400', '5. volume': '126547455'}"
,"{'1. open': '310.5700', '2. high': '324.6799', '3. low': '309.2200', '4. close': '320.7200', '5. volume': '114440286'}"
,"{'1. open': '327.6900', '2. high': '329.9800', '3. low': '310.3700', '4. close': '311.1800', '5. volume': '120726109'}"
,"{'1. open': '335.8500', '2. high': '344.5999', '3. low': '322.5000', '4. close': '330.2400', '5. volume': '125405599'}"
,"{'1. open': '342.7400', '2. high': '345.8400', '3. low': '323.3100', '4. close': '328.4900', '5. volume': '155726016'}"
,"{'1. open': '346.3000', '2. high': '358.6400', '3. low': '336.0000', '4. close': '350.0000', '5. volume': '210521625'}"
,"{'1. open': '299.1400', '2. high': '328.7100', '3. low': '297.6600', '4. close': '321.2200', '5. volume': '204782763'}"
,"{'1. open': '288.8900', '2. high': '299.7500', '3. low': '285.5200', '4. close': '296.9100', '5. volume': '117309232'}"
,"{'1. open': '284.6700', '2. high': '289.5900', '3. low': '275.6200', '4. close': '288.5300', '5. volume': '165228710'}"
,"{'1. open': '247.3400', '2. high': '255.2799', '3. low': '246.2101', '4. close': '251.4400', '5. volume': '69282505'}"
,"{'1. open': '244.5600', '2. high': '248.9000', '3. low': '238.8800', '4. close': '242.8400', '5. volume': '68802354'}"
